Timestep,Consumption,Power
586,2.549298809,10.19719524
587,2.578921845,10.31568738
588,2.603607708,10.41443083
589,2.092888342,8.37155337
590,2.093675035,8.374700141
591,2.094574113,8.378296452
592,2.129378353,8.517513412
593,2.12737251,8.509490038
594,2.150557065,8.602228262
595,2.120343517,8.481374067
596,2.28444265,9.137770599
597,2.356038239,9.424152956
598,2.363849513,9.45539805
599,2.373613604,9.494454418
600,2.193983929,8.775935716
601,5.102965504,20.41186202
602,5.103714735,20.41485894
603,5.104651275,20.4186051
604,5.105400506,20.42160202
605,5.106337045,20.42534818
606,4.592999493,18.37199797
607,4.593936032,18.37574413
608,4.594685263,18.37874105
609,4.813679719,19.25471888
610,4.806271682,19.22508673
611,4.833315936,19.33326374
612,4.824625723,19.29850289
613,4.847740632,19.39096253
614,4.833379596,19.33351838
615,4.600716576,18.4028663
616,4.619944297,18.47977719
617,4.602402346,18.40960938
618,4.603189039,18.41275616
619,4.604088117,18.41635247
620,4.60487481,18.41949924
621,4.605773887,18.42309555
622,4.60656058,18.42624232
623,4.607459658,18.42983863
624,4.608246351,18.4329854
625,4.609145428,18.43658171
626,4.609932121,18.43972849
627,4.610831199,18.4433248
628,4.611617892,18.44647157
629,4.612516969,18.45006788
630,4.613303662,18.45321465
631,4.61420274,18.45681096
632,4.614989433,18.45995773
633,4.615888511,18.46355404
634,4.616675203,18.46670081
635,4.617574281,18.47029712
636,4.618360974,18.4734439
637,4.619260052,18.47704021
638,4.620046745,18.48018698
639,4.620945822,18.48378329
640,4.621732515,18.48693006
641,4.622631593,18.49052637
642,5.137505069,20.55002028
643,5.138404147,20.55361659
644,5.13919084,20.55676336
645,5.140089918,20.56035967
646,5.14087661,20.56350644
647,5.141775688,20.56710275
648,5.142524919,20.57009968
649,5.140102542,20.56041017
650,5.137530319,20.55012128
651,5.13431504,20.53726016
652,5.131742817,20.52697127
653,5.1329751,20.5319004
654,5.13485044,20.53940176
655,5.137194614,20.54877845
656,5.139069953,20.55627981
657,5.129973464,20.51989386
658,5.120408141,20.48163256
659,5.108451487,20.43380595
660,5.098886164,20.39554465
661,2.097065195,8.38826078
662,2.097635557,8.390542229
663,2.09834851,8.39339404
664,2.098918872,8.395675489
665,2.100945631,8.403782522
666,2.102829798,8.411319193
667,2.105185008,8.420740032
668,2.107069176,8.428276703
669,2.127535463,8.510141852
670,2.147530708,8.590122834
671,2.172524765,8.690099061
672,2.192520011,8.770080042
673,2.338505355,9.354021418
674,2.338656447,9.354625787
675,2.338807539,9.355230156
676,2.338883085,9.35553234
677,2.338958631,9.355834525
678,2.324400439,9.297601755
679,2.317121342,9.268485369
680,2.30256315,9.210252599
681,2.295284054,9.181136214
682,2.276614536,9.106458144
683,2.257945018,9.031780073
684,2.24861026,8.994441038
685,2.239275501,8.957102003
686,2.229702778,8.918811113
687,2.220130056,8.880520223
688,2.215343695,8.861374778
689,2.210557333,8.842229333
690,2.221155249,8.884620994
691,2.226454206,8.905816825
692,2.237052121,8.948208486
693,2.242351079,8.969404316
694,2.323576475,9.294305902
695,2.364160118,9.456640472
696,2.445327403,9.781309611
697,5.485911045,21.94364418
698,5.647669093,22.59067637
699,5.728548117,22.91419247
700,5.890306166,23.56122466
701,5.97118519,23.88474076
702,5.601816179,22.40726472
703,5.674175066,22.69670026
704,5.81889284,23.27557136
705,5.891251726,23.5650069
706,5.998392393,23.99356957
707,6.105533059,24.42213224
708,6.159103392,24.63641357
709,6.255620473,25.02248189
710,6.249499974,24.9979999
711,6.237258977,24.94903591
712,6.231138479,24.92455392
713,6.19106872,24.76427488
714,6.118579825,24.4743193
715,6.082335377,24.32934151
716,6.009846482,24.03938593
717,5.991995998,23.96798399
718,5.95629503,23.82518012
719,5.938444546,23.75377818
720,5.902743578,23.61097431
721,5.875164528,23.50065811
722,5.820006429,23.28002571
723,5.792427379,23.16970952
724,5.747611423,22.99044569
725,5.328898078,21.31559231
726,5.255377656,21.02151062
727,5.108336813,20.43334725
728,5.062386549,20.2495462
729,4.989095426,19.9563817
730,4.915804302,19.66321721
731,4.87915874,19.51663496
732,4.842513179,19.37005271
733,4.841707458,19.36682983
734,4.840901737,19.36360695
735,4.840498877,19.36199551
736,4.840096017,19.36038407
737,4.878285761,19.51314304
738,4.897380633,19.58952253
739,5.449657161,21.79862864
740,5.468752033,21.87500813
741,5.515332421,22.06132968
742,5.538622615,22.15449046
743,5.585203003,22.34081201
744,5.608493198,22.43397279
745,5.623730602,22.49492241
746,5.631349304,22.52539722
747,5.646586709,22.58634684
748,5.654205411,22.61682164
749,5.592069824,22.3682793
750,5.561031087,22.24412435
751,5.498953611,21.99581444
752,5.467914874,21.87165949
753,5.386349406,21.54539762
754,5.345566672,21.38226669
